icij_sar_id,filer_org_name_id,filer_org_name,entity_b_id,entity_b,entity_b_country,entity_b_iso_code
4132,standard-chartered-plc,Standard Chartered Plc,habib-metropolitan-bank-limited-karachi-pakistan-pak,Habib Metropolitan Bank Limited,Pakistan,PAK
3181,standard-chartered-plc,Standard Chartered Plc,standard-chartered-bank-dubai-uae-are,Standard Chartered Bank,United Arab Emirates,ARE
3181,standard-chartered-plc,Standard Chartered Plc,al-rostamani-international-exchange-uae-are,Al Rostamani International Exchange,United Arab Emirates,ARE
3181,standard-chartered-plc,Standard Chartered Plc,kuwait-turkish-participation-bank-inc-istanbul-turkey-tur,Kuwait Turkish Participation Bank Inc,Turkey,TUR
3181,standard-chartered-plc,Standard Chartered Plc,wall-street-exchange-center-llc-dubai-uae-are,Wall Street Exchange Center Llc,United Arab Emirates,ARE
3181,standard-chartered-plc,Standard Chartered Plc,standard-chartered-bank-hk-ltd-hong-kong-hkg,Standard Chartered Bank Hk Ltd,Hong Kong,HKG
3923,deutsche-bank-ag,Deutsche Bank AG,abu-dhabi-international-bank-united-arab-emirates-are,Abu Dhabi International Bank,United Arab Emirates,ARE
3923,deutsche-bank-ag,Deutsche Bank AG,gazprombank-russia-rus,Gazprombank,Russia,RUS
4293,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,china-construction-bank-corporation-beijing-china-chn,China Construction Bank Corporation,China,CHN
3386,standard-chartered-plc,Standard Chartered Plc,tamilnad-mercantile-bank-ltd-india-ind,Tamilnad Mercantile Bank Ltd,India,IND
3386,standard-chartered-plc,Standard Chartered Plc,bank-of-india-india-ind,Bank of India,India,IND
3386,standard-chartered-plc,Standard Chartered Plc,union-bank-of-india-india-ind,Union Bank of India,India,IND
3386,standard-chartered-plc,Standard Chartered Plc,bank-of-baroda-india-ind,Bank of Baroda,India,IND
3386,standard-chartered-plc,Standard Chartered Plc,indian-bank-india-ind,Indian Bank,India,IND
3386,standard-chartered-plc,Standard Chartered Plc,dena-bank-india-ind,Dena Bank,India,IND
3386,standard-chartered-plc,Standard Chartered Plc,ubaf-hong-kong-limited-hong-kong-hkg,Ubaf Hong Kong Limited,Hong Kong,HKG
3982,barclays-plc,Barclays Plc,barclays-bank-plc-uk-corporate-gbr,Barclays Bank Plc,United Kingdom,GBR
4136,standard-chartered-plc,Standard Chartered Plc,standard-chartered-bank-china-ltd-shanghai-china-chn,Standard Chartered Bank China Ltd,China,CHN
4083,standard-chartered-plc,Standard Chartered Plc,banco-de-poupanca-e-credito-sarl-luanda-angola-ago,Banco De Poupanca E Credito Sarl,Angola,AGO
4083,standard-chartered-plc,Standard Chartered Plc,banco-angolano-de-investimentos-sarl-international-division-luanda-angola-ago,Banco Angolano De Investimentos Sarl International Division,Angola,AGO
4083,standard-chartered-plc,Standard Chartered Plc,standard-chartered-bank-dubai-uae-are,Standard Chartered Bank,United Arab Emirates,ARE
2940,standard-chartered-plc,Standard Chartered Plc,standard-chartered-bank-treasury-dubai-uae-are,Standard Chartered Bank Treasury,United Arab Emirates,ARE
2940,standard-chartered-plc,Standard Chartered Plc,helm-bank-panama-sa-panama-pan,Helm Bank Panama SA,Panama,PAN
2940,standard-chartered-plc,Standard Chartered Plc,intercam-casa-de-bolsa-sa-de-cv-mexico-mex,Intercam Casa De Bolsa SA De Cv,Mexico,MEX
